TimeInSec,Push,Pop,Drop,BufferMax,AverageLatency
1,0,0,0,0,獶计
2,9,4,2,3,24.26725
3,10,13,0,4,236.3062923076923
4,9,9,0,3,33.38491111111111
5,10,6,2,2,71.36758333333334
6,10,9,2,2,65.26634444444446
7,11,12,0,3,44.38106666666667
8,10,6,2,3,187.03400000000002
9,10,10,2,3,156.24031
10,8,8,0,2,39.64427500000001
11,10,6,4,2,56.289966666666665
12,11,11,0,2,32.05261818181818
13,11,11,0,3,38.405409090909096
14,8,8,0,1,8.362250000000001
15,12,10,2,3,40.99131
16,10,7,3,1,69.11115714285714
17,10,10,0,3,49.14009
18,11,7,4,1,35.9842
19,8,7,0,2,49.91734285714286
20,9,10,0,2,86.63279
21,13,8,2,3,69.2743625
22,8,9,2,3,210.51548888888888
23,11,9,2,2,104.76161111111111
24,9,9,0,2,75.43582222222221
25,10,10,0,3,42.06797000000001
26,11,9,2,1,17.165499999999994
27,10,8,1,3,64.3675375
28,9,6,1,5,320.0151333333334
29,9,10,2,5,263.10885999999994
30,10,10,0,2,16.44571
31,11,11,0,3,56.58348181818182
32,11,10,0,3,37.47909
33,8,8,0,2,56.135475
34,10,9,0,2,48.0889888888889
35,8,5,2,5,374.03926
36,11,12,2,4,142.20571666666666
37,9,5,4,2,127.13852
38,10,10,0,2,23.064379999999996
39,11,9,0,2,36.705244444444446
40,10,10,1,2,44.35708999999999
41,9,4,3,3,335.872875
42,11,14,0,3,68.30175
43,9,3,5,1,2.9089666666666663
44,9,10,0,1,67.62152999999999
45,13,12,0,2,24.158541666666665
46,11,8,2,2,75.93833749999999
47,8,9,0,2,100.23204444444444
48,9,6,3,1,73.96568333333333
49,10,10,0,2,74.13478
50,11,9,2,2,90.0955
51,10,3,6,2,145.02096666666668
52,9,11,0,2,55.95136363636364
53,9,7,2,2,66.19324285714286
54,10,8,1,1,8.091337499999998
55,10,10,0,4,45.02983999999999
56,11,7,4,1,11.795014285714284
57,10,6,3,2,158.26928333333333
58,11,13,0,2,26.08691538461538
59,11,9,2,2,42.580844444444445
60,8,5,0,3,75.79294
61,10,8,4,5,364.5407875
62,9,9,1,2,93.60213333333334
63,10,9,1,3,109.94727777777778
64,9,6,2,2,73.56935
65,9,10,0,2,118.52207000000001
66,10,9,1,2,61.912222222222226
67,10,9,0,1,21.79708888888889
68,9,7,2,1,54.94265714285716
69,9,8,2,1,63.49892499999999
70,13,13,0,2,32.28363846153846
71,8,6,2,2,75.2897
72,9,7,1,3,179.21877142857144
73,10,7,3,3,108.39022857142857
74,9,6,4,1,108.0858
75,11,9,0,3,67.2352
76,9,11,0,3,132.08302727272732
77,12,12,0,2,37.16116666666667
78,7,5,2,1,68.74323999999999
79,11,11,0,3,27.892045454545453
80,11,11,0,1,41.65258181818182
81,11,8,2,2,111.74920000000002
82,7,8,0,1,51.629375
83,11,9,2,2,88.52255555555557
84,10,9,0,2,67.57687777777778
85,11,11,0,3,75.8700181818182
86,10,9,2,2,44.88178888888889
87,8,8,0,2,22.73745
88,12,11,0,1,37.59604545454546
89,10,10,0,2,57.30222
90,9,5,2,3,65.91484
91,12,15,0,4,119.48968
92,9,9,0,2,41.849444444444444
93,11,11,0,3,44.65088181818182
94,8,5,2,2,137.55342000000002
95,10,11,0,1,38.98424545454545
96,10,7,0,3,18.371085714285716
97,10,10,2,3,133.82386
98,8,6,3,3,111.84928333333333
99,10,9,1,2,18.596677777777774
100,12,10,2,1,26.779629999999997
101,7,7,0,3,57.614185714285725
102,4,4,0,0,0.8128500000000001
103,0,0,0,0,獶计
104,0,0,0,0,獶计
105,0,0,0,0,獶计
106,0,0,0,0,獶计
